***Daniel P. Aalberts #  Professor of Physics # B.S. (1989) Massachusetts Institute of Technology; Ph.D. (1994) Massachusetts Inst of Technology
Tomas F. Adalsteinsson #  Assistant Professor of Physical Education and Head Women's Golf Coach #
John E. Kleiner #  Professor of English # B.A. (1983) Amherst College; M.A. (1988) Stanford University; Ph.D. (1991) Stanford University
Bernhard Klingenberg #  Professor of Statistics # B.A. (1996) Technological University; M.S. (1998) Technological University; Ph.D. (2004) University of Florida
Joanna G. Klink #  Margaret Bundy Scott Visiting Professor of English # B.A. (1991) Carleton College; M.F.A. (1998) University of Iowa; Ph.D. (2002) Johns Hopkins University
**Eric C. Knibbs #  Assistant Professor of History and Faculty Affiliate in Religion # B.A. (2004) University of Pennsylvania; Ph.D. (2009) Yale University
**Pia M. Kohler #  Assistant Professor of Environmental Studies # B.S. (1998) McGill University; M.E.S. (2001) Yale School of Forestry &Environment; Ph.D. (2006) Massachusetts Institute of Technology
Thomas A. Kohut #  Chair & Sue and Edgar Wachenheim III Professor of History # B.A. (1972) Oberlin College; M.A. (1975) University of Minnesota; Ph.D. (1983) University of Minnesota
*Anjuli F. Kolb #  Assistant Professor of English # B.A. (2003) Columbia University; M.Phil. (2008) Columbia University; Ph.D. (2013) Columbia University
Elizabeth R. Kolbert #  Class of 1946 Environmental Fellow-in-Residence # B.A. (1983) Yale University
Christophe A. Koné #  Assistant Professor of German # M.A. (2006) Universite Lumiere Lyon 2; Ph.D. (2013) Rutgers University
Nathan Kornell #  Associate Professor of Psychology # B.A. (1996) Reed College; M.A. (2001) Columbia University; Ph.D. (2005) Columbia University
++Basil Kreimendahl #  Visiting Lecturer in Theatre #
Cornelius C. Kubler #  Stanfield Professor of Asian Studies # B.A. (1972) Cornell University; M.A. (1978) National Taiwan University; Ph.D. (1981) Cornell University
Joanna Kurkowicz #  Lyell B. Clay Artist in Residence Violin and Concertmaster Berkshire Symphony # M.M. (1994) University of Massachusetts Amherst
Steven J. Kuster #  Assistant Professor of Physical Education and Head Swim Coach # B.A. (1993) University of Pennsylvania; M.Ed. (1999) Harvard University
Kenneth N. Kuttner #  Chair Robert F. White Class of 1952 Professor of Economics # B.A. (1982) University of California Berkeley; Ph.D. (1989) Harvard University
Karen B. Kwitter #  Chair and Ebenezer Fitch Professor of Astronomy # B.A. (1972) Wellesley College; M.A. (1974) University of California Louisiana; Ph.D. (1979) University of California Louisiana
**Sara LaLumia #  Associate Professor of Economics # B.A. (2000) Youngstown State University; Ph.D. (2006) University of Michigan
Edwin I. Lawrence #  Artist Associate in Harpsichord Piano and Organ and Instructor in Music # B.M. (1969) State University of New York Fredonia
Tim J. Lebestky #  Assistant Professor of Biology # B.S. (1995) University of Kansas; Ph.D. (2002) University of California Louisiana
Joel G. Lee #  Assistant Professor of Anthropology # B.A. (1998) Kenyon College; M.A. (2008) Columbia University; Ph.D. (2015) Columbia University
*Jessica E. Leight #  Assistant Professor of Economics # B.A. (2006) Yale University; M.Phil. (2008) Oxford University; Ph.D. (2013) Massachusetts Institute of Technology
Jason R. Lemieux #  Assistant Professor of Physical Education and Head Nordic Ski Coach # B.A. (2001) Williams College
***William J. Lenhart #  A. Barton Hepburn Professor of Computer Science # B.S. (1977) Saint Joseph’s College; M.A. (1979) Dartmouth College; Ph.D. (1983) Dartmouth College
+Steven P. Levin #  Professor of Art # B.A. (1976) Reed College; M.F.A. (1980) University of California Davis
Kelsey Levine #  Assistant Professor of Physical Education and Head Alpine Ski Coach # B.A. (2010) Williams College
Zafrir Levy #  Assistant Professor of Physical Education and Head Squash Coach # B.A. (2001) Williams College
***Michael J. Lewis #  Faison-Pierson-Stoddard Professor of Art History # B.A. (1980) Haverford College; Ph.D. (1989) University of Pennsylvania
Scott A. Lewis #  Assistant Professor of Physical Education and Director of Outing Club # B.S. (1980) Stanford; M.Ed. (1985) Stanford
John K. Limon #  Chair and John J. Gibson Professor of English # B.A. (1974) Harvard University; Ph.D. (1981) University of California Berkeley
Haydee M. A. Lindo #  Gaius Charles Bolin Fellow in Mathematics # B.A. (2008) Williams College; M.S. (2012) University of Nebraska Lincoln
Mingming Liu #  Visiting Assistant Professor of Chinese # B.A. (2006) East China Normal University; M.A. (2008) Washington University; Ph.D. (2015) University of California Riverside
Robert A. Livingstone #  Lecturer in Physical Education Head Strength and Conditioning Coach # B.S. (2000) Jacksonville State University; M.S. (2001) Jacksonville State University
Susan R. Loepp #  Chair and Professor of Mathematics # B.S. (1989) Bethel College; Ph.D. (1994) University of Texas Austin
Margaret G. Long #  Professor of History and Director of the Williams-Exeter Programme at Oxford University # B.A. (1989) Wesleyan University; M.A. (1994) University of Chicago; Ph.D. (2003) University of Chicago
David A. Love #  Professor of Economics # B.A. (1996) University of Michigan; M.A. (1998) Yale University; Ph.D. (2003) Yale University
Charles M. Lovett Jr. #  Philip and Dorothy Schein Professor of Chemistry # B.S. (1979) California State Poly Technology University; M.S. (1980) California State Polytech University; Ph.D. (1985) Cornell University
Peter D. Low #  Chair and Professor of Art # B.A. (1994) University of Toronto; M.A. (1995) Johns Hopkins University; Ph.D. (2001) Johns Hopkins University
Daniel V. Lynch #  Professor of Biology # B.S. (1979) University of Massachusetts Lowell; Ph.D. (1983) University of Texas Austin
Michael D. MacDonald #  Frederick L. Schuman Professor of International Relations # B.A. (1972) University of California Berkeley; M.A. (1974) University of California Berkeley; Ph.D. (1983) University of California Berkeley
Jennifer L. MacIntire #  Lecturer in Biology and Chemistry # B.A. (1992) University of Vermont
***James E. Mahon Jr. #  Woodrow Wilson Professor of Political Science # B.A. (1977) Dartmouth College; M.A. (1983) University of California Berkeley; Ph.D. (1989) University of California Berkeley
***Protik K. Majumder #  Professor of Physics # B.S. (1982) Yale University; Ph.D. (1989) Harvard University
Katherine S. Maloney #  Assistant Professor of Physical Education and Head Coach of Women's Crew # B.A. (2001) University of WA
Christina Mandt #  Visiting Assistant Professor of German #
James A. Manigault-Bryant #  Associate Professor of Africana Studies # B.A. (1995) Tulane University; Ph.D. (2002) Brown University
LeRhonda S. Manigault-Bryant #  Associate Professor of Africana Studies and Faculty Affiliate in Religion # A.B. (1999) Duke University; M.Div. (2002) Emory University; Ph.D. (2007) Emory University
Patricia M. Manning #  Assistant Professor of Physical Education and Head Women's Basketball Coach # B.S. (1977) State University of New York Cortland; M.S. (1988) Smith College
Thabane V. Maphai #  Class of 1955 Visiting Professor of International Studies # B.Phil. (1976) Universite Catholique de Louva; M.A. (1978) Universite Catholique de Louva; Ph.D. (1991) University of Natal
+Christopher W. Marcisz #  Visiting Lecturer in Anthropology # B.A. (1997) University of Pennsylvania; M.S. (1999) Columbia University
George E. Marcus #  Professor of Political Science # B.A. (1964) Columbia University; M.A. (1965) Northwestern University; Ph.D. (1968) Northwestern University
Luana S. Maroja #  Associate Professor of Biology # B.S. (1999) University Federal do Rio de Janei; M.S. (2001) University Federal do Rio de Janei; Ph.D. (2008) Cornell University
Brian Martin #  Professor of French & Comparative Literature # A.B. (1993) Harvard University; M.A. (1999) Harvard University; Ph.D. (2003) Harvard University
Martha J. Marvin #  Lecturer in Neuroscience # B.A. (1984) University of California Berkeley; Ph.D. (1995) Massachusetts Inst of Technology
Christine L. Mason #  Assistant Professor of Physical Education and Head Women's Lacrosse Coach # B.S. (1978) Pennsylvania State University; M.Ed. (1986) Boston University
James McAllister #  Chair and Fred Greene Third Century Professor of Political Science # B.A. (1986) State University of New York Buffalo; M.A. (1989) Columbia University; Ph.D. (1999) Columbia University
George M. McCormack #  Assistant Professor of Physical Education Head Men's Lacrosse and Assistant Football Coach # B.S. (1987) Ithaca College; M.Ed. (2007) Boston University
Elizabeth P. McGowan #  Professor of Art # B.A. (1979) Princeton University; M.A. (1981) New York University Inst of Fine Arts; Ph.D. (1983) New York University Inst of Fine Arts
Morgan S. McGuire #  Associate Professor of Computer Science # B.S. (2000) Massachusetts Institute of Technology; M.S. (2003) Brown University; Ph.D. (2006) Brown University
+Robert J. McMahon #  Stanley Kaplan Visiting Professor of American Foreign Policy # B.A. (1971) Fairfield University; M.A. (1972) University of Connecticut; Ph.D. (1977) University of Connecticut
Keith E. McPartland #  Associate Professor of Philosophy # B.A. (1994) Rutgers University; M.A. (1998) Cornell University; Ph.D. (2007) Cornell University
***Gage C. McWeeny #  Associate Professor of English # B.A. (1993) Columbia University; M.A. (1998) Princeton University; Ph.D. (2003) Princeton University
Lisa M. Melendy #  Chair Director of Athletics and Assistant Professor in Physical Education # A.B. (1982) Smith College; M.S. (1985) University of Massachusetts Amherst
Nicole E. Mellow #  Professor of Political Science # B.A. (1992) Vassar College; Ph.D. (2003) University of Texas Austin
Karen R. Merrill #  Frederick Rudolph '42 - Class of 1965 Professor of American Culture # B.A. (1986) Oberlin College; M.A. (1988) University of Denver; Ph.D. (1994) University of Michigan
Brian E. Messier #  Artist in Residence in Winds and Director of the Wind Ensemble # B.M. (2003) Ithaca College; M.M. (2011) University of Massachusetts Amherst; D.M. (2014) University of Minnesota
Carolyn D. Miles #  Assistant Professor of Physical Education and Associate Director/Student Athlete Services # B.S. (1998) University of New Hampshire; M.S. (2008) Columbia University
Steven J. Miller #  Associate Professor of Mathematics # B.S. (1996) Yale University; M.A. (1998) Princeton University; Ph.D. (2002) Princeton University
Gregory C. Mitchell #  Assistant Professor of Women's Gender and Sexuality Studies and Faculty Affiliate in Anthropology/Sociology # B.S. (2000) Illinois State University; M.A. (2007) University of Chicago; Ph.D. (2012)  Ph.D.
Bojana Mladenovic #  Associate Professor of Philosophy # B.A. (1984) University of Belgrade; M.A. (1987) McGill University; Ph.D. (1996) University of California Berkeley
Jeffrey S. Moher #  Visiting Assistant Professor of Psychology # B.S. (2006) University of Michigan Ann Arbor; M.A. (2008) Johns Hopkins University; Ph.D. (2011) Johns Hopkins University
*Mariko Moher #  Assistant Professor of Psychology # B.A. (2005) Yale University; M.A. (2007) Johns Hopkins University; Ph.D. (2011) Johns Hopkins University
Peter J. Montiel #  Fairleigh S. Dickinson Jr. '41 Professor of Economics # B.A. (1973) Yale University; Ph.D. (1973) Massachusetts Inst of Technology
Manuel A. Morales #  Professor of Biology # A.B. (1994) Kenyon College; Ph.D. (1999) University of Connecticut
Ralph E. Morrison #  Assistant Professor of Mathematics # B.A. (2010) Williams College; Ph.D. (2015) University of California Berkeley
Ngonidzashe Munemo #  Associate Professor of Political Science # B.A. (2000) Bard College; M.A. (2001) Columbia University; Ph.D. (2008) Columbia University
Tendai Muparutsa #  Artist in Residence in African Music Performance Lecturer in Music Director of Zambezi Co-Director of Kusika #     ; Ph.D. (2012) University of Alberta
Peter T. Murphy #  John Hawley Roberts Professor of English # B.A. (1981) Yale University; Ph.D. (1986) Johns Hopkins University
Thomas P. Murtagh #  Professor of Computer Science # A.B. (1974) Princeton University; M.S. (1976) Cornell University; Ph.D. (1983) Cornell University
Kenda B. Mutongi #  Professor of History # B.A. (1989) Coe College; M.A. (1993) University of Virginia; Ph.D. (1996) University of Virginia
Steven E. Nafziger #  Associate Professor of Economics # B.A. (2000) Northwestern University; M.Phil. (2003) Yale University; Ph.D. (2006) Yale University
Lama Nassif #  Assistant Professor of Comparative Literature # B.A. (1994) Damascus University; M.A. (2007) Middlebury Institute of International Studies at Monterey; Ph.D. (2014) University of Texas Austin
Asvelt J. Nduwumwami #  Instructor in Chemistry # B.A. (2013) Williams College
Gail M. Newman #  Harold J. Henry Professor of German # B.A. (1976) Northwestern University; M.A. (1981) University of Minnesota; Ph.D. (1984) University of Minnesota
Anthony J. Nicastro #  Visiting Professor of Romance Languages # B.A. (1962) New York University; M.A. (1964) New York University; Ph.D. (1971) Columbia University
Michael T. Nishizaki #  Visiting Assistant Professor of Marine Sciences # B.S. (1998) University of North British Columbia; M.S. (2009) University of Washington; Ph.D. (2013) University of Washington
*Wairimu R. Njoya #  Assistant Professor of Political Science # B.A. (2002) Macalester College; M.A. (2004) University of Amsterdam; Ph.D. (2010) Rutgers University
James L. Nolan Jr. #  Professor of Sociology # B.A. (1984) University of California Davis; M.A. (1992) University of Virginia; Ph.D. (1995) University of Virginia
*Christopher M. B. Nugent #  Professor of Chinese # B.A. (1991) Brown University; Ph.D. (2004) Harvard University
Carol J. Ockman #  Robert Sterling Clark Professor of Art # B.A. (1972) Stanford University; M.A. (1975) Yale University; Ph.D. (1982) Yale University
William W. Olney #  Associate Professor of Economics # B.A. (2002) Wesleyan University; Ph.D. (2010) University of Colorado
Allison M. Pacelli #  Professor of Mathematics # B.S. (1997) Union College; Ph.D. (2003) Brown University
Joon Suk Park #  Visiting Assistant Professor of Computer Science # B.A. (2009) University of California San Diego; Ph.D. (2016) Cornell University
*Lee Y. Park #  William R. Kenan Jr. Professor of Chemistry # B.A. (1986) Wellesley College; Ph.D. (1992) Massachusetts Inst of Technology
Paul C. Park #  Senior Lecturer in English # B.A. (1975) Hampshire College
Janine M. Parker #  Artist-in-Residence in Dance #
Jay M. Pasachoff #  Field Memorial Professor of Astronomy # A.B. (1963) Harvard University; A.M. (1965) Harvard University; Ph.D. (1969) Harvard University
Darel E. Paul #  Professor of Political Science # B.A. (1990) University of Minnesota; M.A. (1994) George Washington University; Ph.D. (2000) University of Minnesota
Enrique Peacock-Lopez #  Professor of Chemistry # B.S. (1974) University Nac Autonoma; M.S. (1976) University of California Riverside; Ph.D. (1982) University of California San Diego
Lori A. Pedersen #  Lecturer in Mathematics # B.A. (1982) College of Wooster; M.A. (1985) Brown University
Julia A. Pedroni #  Lecturer in Philosophy # B.A. (1986) Wells College; Ph.D. (1999) Georgetown University
***Peter L. Pedroni #  Professor of Economics # B.A. (1986) Miami University; M.A. (1993) Columbia University; Ph.D. (1993) Columbia University
Ileana Perez Velazquez #  Professor of Music # B.M. (1989) Higher Institute of Arts; M.A. (1995) Dartmouth College; D.M.A. (1999) Indiana University
Elena S. Perez #  Visiting Lecturer in Art # B.F.A. (2011) Maryland Institute College of Art; M.F.A. (2015) Yale University
James L. Pethica #  Senior Lecturer in English and Theatre # B.A. (1980) Oxford University; Ph.D. (1987) Oxford University
Gregory B. Phelan #  Assistant Professor of Economics # B.A. (2007) Yale University; M.Phil. (2012) Yale University; Ph.D. (2014) Yale University
Katarzyna M. Pieprzak #  Chair and Professor of Francophone Literature French Language and Comparative Literature # B.A. (1995) Rice University; M.A. (1998) University of Michigan; Ph.D. (2001) University of Michigan
***Michelyne J. Pinard #  Assistant Professor of Physical Education and Head Women's Soccer Coach # B.A. (1998) Dartmouth College; M.S. (2002) University of Pennsylvania
Amy D. Podmore #  Professor of Art # B.S. (1982) State University of New York Buffalo; M.F.A. (1987) University of California Davis
Kailani Polzak #  C3 Mellon Postdoctoral Fellow in Art History #
Daniel E. Prindle #  Visiting Instructor in Music # B.M. (2003) Berklee College of Music; M.M. (2011) University of Massachusetts Amherst
**Christopher L. Pye #  Class of 1924 Professor of English # B.A. (1975) Oberlin College; M.A. (1977) University College; Ph.D. (1984) Cornell University
*Lawrence E. Raab #  Harry C. Payne Professor of Poetry # B.A. (1968) Middlebury College; M.A. (1972) Syracuse University
Munjulika Rahman #  Visiting Assistant Professor of Dance History and Theory # B.A. (2006) Randolph-Macon Woman's College; M.A. (2007) Northwestern University; Ph.D. (2013) Northwestern University
Ashok S. Rai #  Associate Professor of Economics # B.A. (1992) Stanford University; Ph.D. (1997) University of Chicago
Mark R. Raymond #  Assistant Professor of Physical Education and Head Coach of Football #
Emily E. Rea #  Lecturer in Theatre # B.F.A. (2007) University of the Arts; M.F.A. (2013) City University of New York
Anne Reinhardt #  Associate Professor of History # B.A. (1990) Harvard University; M.A. (1994) University of California Berkeley; Ph.D. (2002) Princeton University
Mark T. Reinhardt #  Class of 1956 Professor of American Civilization # B.A. (1983) Wesleyan University; Ph.D. (1991) University of California Santa Cruz
*Bernard J. Rhie #  Associate Professor of English # B.A. (1997) University of California Berkeley; M.A. (2001) University of Pennsylvania; Ph.D. (2005) University of Pennsylvania
David P. Richardson #  William R. Kenan Jr. Professor of Chemistry # B.S. (1979) University of Michigan; Ph.D. (1984) University of California Berkeley
Kathryn L. Ringer-Hilfinger #  Visiting Assistant Professor of Spanish # B.A. (2003) State University of New York Geneseo; M.A. (2004) Middlebury College; Ph.D. (2013) State University of New York Albany
Mary L. Roberts #  Robert Sterling Clark Visiting Professor of Art History # B.A. (1987) University of Sydney; Ph.D. (1995) University of Melbourne
*Neil Roberts #  Associate Professor of Africana Studies and Faculty Affiliate in Political Science # B.A. (1998) Brown University; M.A. (2003) University of Chicago; Ph.D. (2007) University of Chicago
Emmelyn B. Rosen #  Postdoctoral Research Fellow in the Graduate Program in Art History # B.A. (2006) Columbia University; M.A. (2009) Princeton University; Ph.D. (2015) Princeton University
Shawn J. Rosenheim #  Professor of English # B.A. (1985) Oberlin College; M.A. (1988) Yale University; Ph.D. (1993) Yale University
Leyla Rouhi #  Preston S. Parish '41 Third Century Professor of Romance Languages # B.A. (1987) Oxford University; M.A. (1988) Harvard University; Ph.D. (1995) Harvard University
Merida M. Rua #  Professor of Latina/o and American Studies # B.A. (1993) University of Illinois; M.Ed. (1995) University of Illinois; Ph.D. (2004) University of Michigan
++Marketa Rulikova Edwards #  Visiting Assistant Professor of Sociology # B.A. (1996) University of Pardubice; M.A. (1997) Central European University; Ph.D. (2001) Polish Academy of Sci
Sophie F. Saint-Just #  Assistant Professor of French and Francophone Studies # B.A. (1991) University of Paris VIII; M.Phil. (2004) City University of New York; Ph.D. (2013) City University of New York
Michael Samson #  Senior Lecturer in Economics # B.A. (1983) Yale University; Ph.D. (1994) Stanford University
Marlene J. Sandstrom #  Hales Professor of Psychology # B.A. (1991) Yale University; M.A. (1993) Duke University; Ph.D. (1996) Duke University
Noah J. Sandstrom #  Professor of Psychology # B.A. (1994) Knox College; M.A. (1997) Duke University; Ph.D. (1999) Duke University
Omar A. Sangare #  Associate Professor of Theatre # M.F.A. (1993) The Theatre Academy; Ph.D. (2006) The Theatre Academy
Alejandro Sarria #  Visiting Assistant Professor of Mathematics # B.S. (2008) University of New Orleans; M.S. (2009) University of New Orleans; Ph.D. (2012) University of New Orleans
***Robert M. Savage #  Professor of Biology # B.A. (1987) Bowdoin College; Ph.D. (1993) Wesleyan University
Kenneth K. Savitsky #  Professor of Psychology # B.A. (1993) IN University; Ph.D. (1997) Cornell University
***Jana L. Sawicki #  Carl W. Vogt '58 Professor of Philosophy # B.A. (1974) Sweet Briar College; M.A. (1978) Columbia University; Ph.D. (1983) Columbia University
Lucille G. Schmidt #  Professor of Economics # A.B. (1993) Smith College; M.A. (1997) University of Michigan; Ph.D. (2003) University of Michigan
Justin B. Shaddock #  Visiting Assistant Professor of Philosophy # B.A. (2004) University of Notre Dame; Ph.D. (2011) University of Chicago
Avinoam Shalem #  Robert Sterling Clark Visiting Professor of Art History #
Cheryl L. Shanks #  Professor of Political Science # B.A. (1983) University of California Santa Cruz; M.A. (1988) University of Michigan; Ph.D. (1994) University of Michigan
James R. Shepard #  J. Leland Miller Professor of American History Literature and Eloquence # B.A. (1978) Trinity College; M.F.A. (1980) Brown University
Karen L. Shepard #  Senior Lecturer in English # B.A. (1987) Williams College; M.F.A. (1992) University of Houston
**Stephen C. Sheppard #  Class of 2012 Professor of Economics # B.S. (1977) University of UT; M.A. (1979) Washington University; Ph.D. (1984) Washington University
Anthony Sheppard #  Professor of Music # B.A. (1991) Amherst College; M.F.A. (1993) Princeton University; Ph.D. (1996) Princeton University
***Olga Shevchenko #  Professor of Sociology # B.A. (1996) Moscow State University; M.A. (1997) Central European University; Ph.D. (2002) University of Pennsylvania
Heeryoon Shin #  Visiting Assistant Professor of Art # B.A. (2004) Seoul National University; M.A. (2011) Yale University; Ph.D. (2015) Yale University
Grant W. Shoffstall #  Visiting Assistant Professor of Sociology # B.A. (2002) Illinois State University; M.A. (2006) Illinois State University; Ph.D. (2014) University of Illinois
Lara D. Shore-Sheppard #  Professor of Economics # B.A. (1991) Amherst College; M.A. (1993) Princeton University; Ph.D. (1996) Princeton University
***Cesar E. Silva #  Hagey Family Professor of Mathematics # B.S. (1977) Catholic University of Peru; M.A. (1979) University of Rochester; Ph.D. (1984) University of Rochester
Christina E. Simko #  Assistant Professor of Sociology # B.A. (2005) Bridgewater College; M.A. (2007) University of Virginia; Ph.D. (2013) University of Virginia
**Swati Singh #  Assistant Professor of Physics # B.S. (2004) McMaster University; M.S. (2007) University of British Columbia; Ph.D. (2012) University of Arizona
*Shanti M. Singham #  Professor of History # B.A. (1980) Swarthmore College; M.A. (1982) Princeton University; Ph.D. (1991) Princeton University
Eiko Maruko Siniawer #  Professor of History # B.A. (1997) Williams College; M.A. (1999) Harvard University; Ph.D. (2003) Harvard University
Laura A. Smalarz #  Assistant Professor of Psychology # B.A. (2008) San Diego State University; M.S. (2011) Iowa State University; Ph.D. (2015) Iowa State University
Kyle W. Smesko #  Lecturer in Physical Education Assistant Football Coach # B.A. (1997) Allegheny College
David C. Smith #  Senior Lecturer in Biology # B.S. (1968) Yale University; Ph.D. (1977) University of Michigan
David L. Smith #  John W Chandler Professor of English # B.A. (1974) New College; M.A. (1975) University of Chicago; Ph.D. (1980) University of Chicago
Thomas E. Smith #  Professor of Chemistry # B.A. (1988) Williams College; Ph.D. (1996) Stanford University
*Anita R. Sokolsky #  Professor of English # B.A. (1974) Oberlin College; M.A. (1979) Cornell University; Ph.D. (1983) Cornell University
Paul R. Solomon #  Professor of Psychology # B.A. (1970) State University of New York New Paltz; M.A. (1972) State University of New York New Paltz; Ph.D. (1975) University of Massachusetts Amherst
Stefanie Solum #  Professor of Art # B.A. (1991) University of Wisconsin Madison; M.A. (1995) University of California Berkeley; Ph.D. (2001) University of California Berkeley
Steven P. Souza #  Senior Lecturer in Astronomy # B.S. (1973) Cooper Union; Ph.D. (1979) State University of New York Stony Bro
+Fredrika I. Spindler #  Richmond Visiting Professor of Philosophy #     ; Ph.D. (1996) Paul Valery University
Kameron H. Steele #  Visiting Lecturer in Theatre # B.F.A. (1991) Northwestern University; M.F.A. (2014) California Inst of the Arts
Doris J. Stevenson #  Lyell B. Clay Artist in Residence Piano # B.M. (1967) Arizona State University; M.M. (1969) University of Southern California
Mihai Stoiciu #  Associate Professor of Mathematics # B.S. (1999) University of Bucharest; Ph.D. (2005) California Inst of Technology
Jefferson Strait #  John B. McCoy and John T. McCoy Professor of Physics # A.B. (1975) Harvard University; M.S. (1981) Brown University; Ph.D. (1985) Brown University
Frederick W. Strauch #  Associate Professor of Physics # B.S. (1998) Loyola College; Ph.D. (2004) University of Maryland
Laura R. Strauch #  Instructor in Chemistry # B.S. (1999) Loyola College
Catherine B. Stroud #  Assistant Professor of Psychology # B.A. (2002) University of Wisconsin Madison; M.A. (2006) State University of New York Stony Broo; Ph.D. (2009) State University of New York Stony Bro
Erin L. Sullivan #  Assistant Professor of Physical Education Head Men's Soccer Coach # B.A. (1996) Williams College; M.B.A. (2006) Western New England College
++Mirta Suquet #  Visiting Assistant Professor of Spanish #
Alison M. Swain #  Assistant Professor of Physical Education and Head Coach of Women's Tennis # B.A. (2001) Williams College; M.Ed. (2006) University of Washington
Anand V. Swamy #  Chair of CDE and Professor of Economics # B.A. (1983) University of Delhi; M.A. (1985) Delhi School of Economics; Ph.D. (1993) Northwestern University
**Karen E. Swann #  Morris Professor of Rhetoric # B.A. (1975) Oberlin College; M.A. (1979) Cornell University; Ph.D. (1983) Cornell University
*Jane M. Swift #  Visiting Lecturer in Leadership Studies # B.A. (1987) Trinity College
**Steven J. Swoap #  Professor of Biology # B.A. (1990) Trinity University; Ph.D. (1994) University of California Irvine
Peyam R. Tabrizian #  Visiting Assistant Professor of Mathematics # A.B. (2010) University of California Berkeley; Ph.D. (2016) University of California Berkeley
Barbara E. Takenaga #  Mary A and William Wirt Warren Professor # B.F.A. (1972) University of Colorado; M.F.A. (1978) University of Colorado
*Rebecca E. Taurog #  Assistant Professor of Chemistry # B.S. (2000) Brandeis University; Ph.D. (2006) University of Michigan Ann Arbor
***John W. Thoman Jr. #  J. Hodge Markgraf Professor of Chemistry # B.A. (1982) Williams College; Ph.D. (1987) Massachusetts Inst of Technology
Christian Thorne #  Professor of English # B.A. (1995) Wesleyan University; Ph.D. (2001) Duke University
*Stephen J. Tifft #  Professor of English # B.A. (1975) Harvard University; M.A. (1976) Cornell University; Ph.D. (1984) Cornell University
Anicia C. Timberlake #  C3 Mellon Postdoctoral Fellow in Music # A.B. (2005) Harvard University; M.A. (2010) University of California Berkeley; Ph.D. (2015) University of California Berkeley
Claire S. Ting #  Professor of Biology # B.A. (1986) Yale University; M.S. (1989) Cornell University; Ph.D. (1994) Cornell University
Matthew N. Tokeshi #  Assistant Professor of Political Science # B.A. (2006) University of California Berkeley; M.A. (2012) Princeton University; Ph.D. (2016) Princeton University
David R. Tucker-Smith #  Chair and Professor of Physics # B.A. (1995) Amherst College; Ph.D. (2001) University of California Berkeley
Laura L. Tupper #  Assistant Professor of Statistics # B.A. (2008) Swarthmore College; M.S. (2013) Cornell University; Ph.D. (2016) Cornell University
Daniel B. Turek #  Assistant Professor of Statistics # B.S. (2003) Massachusetts Institute of Technology; M.Eng. (2004) Massachusetts Inst of Technology; Ph.D. (2013) University of Otago-Dunedin
Damian L. Turner #  Assistant Professor of Biology # B.S. (2004) Morgan State University; Ph.D. (2010) University of Connecticut
++Anne M. Valk #  Lecturer in History #
Joshua J. Vandiver #  Visiting Assistant Professor of Political Science # A.B. (2004) Harvard University; M.A. (2007) Princeton University; Ph.D. (2012) Princeton University
Emily K. Vasiliauskas #  Assistant Professor of English # A.B. (2007) Harvard University; M.A. (2009) London University; Ph.D. (2015) Princeton University
Zachary R. Wadsworth #  Assistant Professor of Music # B.M. (2005) University of Rochester; M.M. (2007) Yale University; D.M.A. (2012) Cornell University
William G. Wagner #  Brown Professor of History # B.Phil. (1974) Oxford University; Ph.D. (1981) Oxford University
Dorothy J. Wang #  Associate Professor of American Studies and Faculty Affiliate in English # B.A. (1985) Duke University; M.A. (1993) Johns Hopkins University; Ph.D. (1998) University of California Berkeley
Guowei Wang #  Artist in Residence in Chinese Music Performance and Director of the Williams College Chinese Ensemble #
Yabin Wang #  Visiting Assistant Professor of Economics #
Christopher M. Waters #  Hans W. Gatzke '38 Professor of Modern European History # B.A. (1977) California State University Long Beach; M.A. (1979) Harvard University; Ph.D. (1985) Harvard University
**Tara E. Watson #  Associate Professor of Economics # B.A. (1996) Wesleyan University; Ph.D. (2003) Harvard University
Bradley C. Wells #  Lyell B. Clay Artist in Residence and Director of Choral/Vocal Activities Lecturer in Music # B.A. (1984) Principia College; M.M.A. (1998) Yale University; D.M.A. (2005) Yale University
Peter S. Wells #  Assistant Professor of Physical Education Coordinator of Men's and Women's Crew and Head Coach of Men's Crew # B.A. (1979) Williams College
**Carmen T. Whalen #  Professor of History # B.A. (1985) Hampshire College; M.A. (1989) Rutgers University; Ph.D. (1994) Rutgers University
Alan E. White #  Mark Hopkins Professor of Philosophy # B.A. (1972) Tulane University; M.A. (1976) Pennsylvania State University; Ph.D. (1980) Pennsylvania State University
Amanda R. Wilcox #  Chair and Associate Professor of Classics # B.A. (1996) Reed College; M.A. (1999) University of Pennsylvania; Ph.D. (2002) University of Pennsylvania
Heather Williams #  William Dwight Whitney Professor of Biology # A.B. (1977) Bowdoin College; Ph.D. (1985) Rockefeller University
Lauren L. Williamson #  Visiting Assistant Professor of Behavioral Neuroscience # B.A. (2007) Williams College; Ph.D. (2014) Duke University
++Vincent L. Wimbush #  Croghan Bicentennial Professor in Biblical and Early Christian Studies #
Stephen F. Winter #  Visiting Lecturer in Art # B.F.A. (1992) Art Institute of Chicago; M.F.A. (1996) TISCH School of Arts New York University
Amy Gehring Winters #  Chair and Professor of Chemistry # B.A. (1994) Williams College; Ph.D. (1998) Harvard University
